id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
674,Carl,Thomas,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
675,Steven,Smith,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
676,Stanley,Roberts,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
677,Doug,Lee,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
678,Rafael,Addison,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
679,Sean,Green,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
680,Corey,Crowder,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
681,Eric,Murdock,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
682,Kevin,Brooks,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
683,Carlton,McKinney,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
684,Billy,Owens,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
685,Doug,Smith,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
686,Marty,Conlon,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
687,Rich,King,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
688,Brad,Sellers,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
689,Rodney,Monroe,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
690,Lanard,Copeland,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
691,LeRon,Ellis,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
692,Larry,Stewart,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
693,John,Turner,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
694,Charles,Shackleford,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
695,Keith,Owens,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
696,Paul,Graham,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
697,Kenny,Anderson,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
698,Carl,Herrera,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
699,Myron,Brown,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
700,Dale,Davis,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
701,Labradford,Smith,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
702,Bison,Dele,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
703,Chuck,Nevitt,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
704,Patrick,Eddie,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
705,David,Rivers,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
706,Luc,Longley,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
707,Bob,McCann,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
708,Donald,Royal,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
709,Anthony,Bowie,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
710,Chris,Corchiani,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
711,Stephen,Thompson,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
712,Jeff,Ruland,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
